club,golfer,backspin,totdist,ballspeed,launchang
1,1,2675,256,243,9.6
1,2,3775,252,252,11.8
1,3,2550,293,275,9.9
1,4,2350,265,258,7.8
1,5,3138,258,251,12.3
1,6,3150,228,223,11.8
2,1,2475,259,243,9.7
2,2,3225,258,249,11.1
2,3,2338,297,273,9.1
2,4,2575,262,275,7.0
2,5,2675,262,248,10.8
2,6,2650,236,225,10.8
3,1,2375,257,239,10.1
3,2,3663,249,248,11.4
3,3,2513,292,272,8.8
3,4,2388,270,255,7.8
3,5,3038,259,249,11.2
3,6,2738,241,223,10.3
4,1,2463,251,237,9.6
4,2,3588,248,246,11.1
4,3,2625,281,269,10.0
4,4,2638,269,258,6.5
4,5,3063,251,243,11.1
4,6,2963,222,217,12.5
