Dish,DOM,UVB,Alive,Dead
65,0,1,0,5
66,0,1,0,5
67,0,1,0,5
68,0,1,0,5
69,0,1,0,5
73,0,0,7,0
74,0,0,5,0
75,0,0,0,5
76,0,0,2,4
78,0,1,0,5
79,0,1,0,6
82,0,0,5,0
83,0,0,5,0
89,0,1,0,8
90,0,1,0,10
91,0,1,0,8
92,0,1,0,8
93,0,1,0,8
99,0,0,9,0
100,0,0,8,0
101,0,0,5,0
102,0,0,8,0
103,0,0,8,0
109,0,1,0,8
110,0,1,0,8
111,0,1,0,8
112,0,1,0,8
113,0,1,0,8
119,0,0,8,0
120,0,0,7,1
121,0,0,8,0
122,0,0,8,0
123,0,0,5,3
134,1,1,5,0
135,1,1,3,2
136,1,1,4,1
137,1,1,4,1
138,1,1,4,1
139,0,1,0,5
140,0,1,0,5
141,0,1,0,5
142,0,1,0,5
143,1,0,5,0
144,1,0,5,0
145,1,0,5,0
146,1,0,5,0
147,1,0,6,0
148,0,0,5,0
149,0,0,5,0
150,0,0,5,0
151,0,0,5,0
152,0,0,5,0
153,1,1,4,1
154,1,1,5,0
155,1,1,3,3
156,1,1,5,1
157,1,1,5,0
158,1,1,3,2
159,1,1,4,1
160,1,1,2,3
161,1,1,4,1
162,1,1,4,1
163,0,1,0,5
164,0,1,0,5
165,0,1,0,5
166,0,1,0,5
167,0,1,0,5
168,0,1,0,5
169,0,1,0,6
170,0,1,0,5
171,0,1,0,5
172,0,1,0,5
173,0,0,6,0
174,0,0,6,0
175,0,0,5,0
176,0,0,5,0
177,0,0,5,0
178,0,0,5,0
179,0,0,5,0
180,0,0,5,0
181,0,0,5,0
182,0,0,5,0
183,1,1,5,0
184,1,1,5,0
185,1,1,5,0
186,1,1,5,0
187,1,1,6,0
188,1,1,5,0
189,1,1,5,0
190,1,1,5,0
191,1,1,5,0
192,1,1,5,0
193,1,0,5,0
194,1,0,5,0
195,1,0,5,0
196,1,0,5,0
197,1,0,5,0
198,1,0,5,1
199,1,0,5,2
200,1,0,5,0
201,1,0,5,0
202,0,1,3,2
203,0,1,5,5
204,0,1,5,0
205,0,1,2,3
206,0,1,3,2
207,0,1,4,1
208,0,1,3,2
209,0,1,4,1
210,0,1,3,2
211,0,1,4,1
212,0,0,5,0
213,0,0,5,0
214,0,0,5,0
215,0,0,5,0
216,0,0,5,0
217,0,0,6,0
218,0,0,5,0
219,0,0,5,0
